id,question,subset,expected_document,erreur,duree_secondes,documents_recuperes,rang_document_attendu,nombre_passages,candidats_recuperes,reranking_utilise,contexte_insuffisant,motif_absence,perimetre_statut,perimetre_contraignant,perimetre_libelle,hit@1,precision@1,recall@1,mrr@1,map@1,hit@3,precision@3,recall@3,mrr@3,map@3,hit@5,precision@5,recall@5,mrr@5,map@5,hit@10,precision@10,recall@10,mrr@10,map@10
paper_tab:03ce42ff53aa3f1775bc57e50012f6eb1998c480,What 6 language pairs is experimented on?,paper_tab,1909.01013.pdf,,22.677,200304866|190109755|191103058|190901638|191005154|190909270,,10,37,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:04012650a45d56c0013cf45fd9792f43916eaf83,How much is performance hurt when using too small amount of layers in encoder?,paper_tab,1908.06151.pdf,,1.101,190806151|180700868|191109483|190902480|191014537|191010408|180705154|190911687,1.0,10,37,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:0682bf049f96fa603d50f0fdad0b79a5c55f6c97,Do they analyze specific derogatory words?,paper_tab,2003.03014.pdf,,1.0,200303014|191203804|190206843|180505581|200402192|170306492|170910367,1.0,10,38,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:085147cd32153d46dd9901ab0f9195bfdbff6a85,What are the baseline models?,paper_tab,1603.00968.pdf,,1.065,191113066|180305223|191004006|160301987|170103051|190900105|180700868|200303044|190806083,,10,38,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:0af16b164db20d8569df4ce688d5a62c861ace0b,what were the baselines?,paper_tab,1908.06264.pdf,,1.007,190209393|180901541|181210479|191203627|160507683|161103599|200308385|190900252|170703904,,10,37,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:0c7823b27326b3f5dff51f32f45fc69c91a4e06d,In which setting they achieve the state of the art?,paper_tab,1703.06492.pdf,,1.046,191014537|200100137|191010781|190607701|191014599|200311562|190109755|160504655|180909795,,10,39,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:11dde2be9a69a025f2fc29ce647201fb5a4df580,By how much does the new parser outperform the current state-of-the-art?,paper_tab,1710.09340.pdf,,0.994,171009340|190806379|181206864|180809029|180804614,1.0,10,36,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:12ac76b77f22ed3bcb6430bcd0b909441d79751b,What are the competing models?,paper_tab,1910.11235.pdf,,1.069,190102262|191107555|200205058|200106354|160507683|190703060|161103382|190806379|180611432,,10,39,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1462eb312944926469e7cee067dfc7f1267a2a8c,How many different types of entities exist in the dataset?,paper_tab,1908.05828.pdf,,0.952,191100069|200312218|170109123|191210011|200206424|190410503,,10,31,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:157b9f6f8fb5d370fa23df31de24ae7efb75d6f3,How do their results compare against other competitors in the PAN 2017 shared task on Author Profiling?,paper_tab,1707.03764.pdf,,1.081,190904181|170902271|171009589|180305223|191107555|161103599,,10,38,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:160e6d2fc6e04bb0b4ee8d59c06715355dec4a17,What accuracy score do they obtain?,paper_tab,1911.13066.pdf,,1.081,181210479|200100137|191113066|190404358|200306279|191106191|190900252|170203342,3.0,10,39,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,0.3333333333333333,0.3333333333333333,1.0,0.1,1.0,0.3333333333333333,0.3333333333333333
paper_tab:16af38f7c4774637cf8e04d4b239d6d72f0b0a3a,How large is the dataset?,paper_tab,2002.10361.pdf,,0.966,180904960|160503481|191203627|181112254|180900530|170100185|191102821|190908041|191109483,,10,39,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:171ebfdc9b3a98e4cdee8f8715003285caeb2f39,How better is accuracy of new model compared to previously reported models?,paper_tab,1909.08859.pdf,,1.105,191004269|190404358|191107555|191102711|180902279|200306044|191200667|160300968|200100137,,10,38,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1a8b7d3d126935c09306cacca7ddb4b953ef68ab,What were their results?,paper_tab,1707.08559.pdf,,1.027,160301987|200306279|191200864|190807816|170109123|171009589|200304642|161102550|170905413,,10,40,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1adbdb5f08d67d8b05328ccc86d297ac01bf076c,What languages do they use?,paper_tab,1810.03459.pdf,,0.998,191107555|191112579|191004269|200304866|191213109|191203457|191103058,,10,38,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
