id,question,subset,answerable,expected_answer,expected_document,categorie,erreur,reponse,refus,exactitude,detail_exactitude,evidence_couverte,couverture_relative,rang_premier_utile,groundedness,contexte_suffisant,citations_valides,citations_reparees,citations_hors_perimetre,nombre_sources,documents_cites,perimetre_statut,duree_secondes
paper_tab:03ce42ff53aa3f1775bc57e50012f6eb1998c480,What 6 language pairs is experimented on?,paper_tab,True,"EN<->ES
EN<->DE
EN<->IT
EN<->EO
EN<->MS
EN<->FI",1909.01013.pdf,ECHEC_RETRIEVAL,,"La question demande de préciser les 6 paires de langues expérimentées. Selon les sources documentaires, les réponses suivantes peuvent être extraites :

1. **Langues mentionnées dans [S3]** :  
   - Le document [S3] indique que l'expérience inclut 7 langues : **Anglais (En)**, **Français (Fr)**, **Hindi (Hi)**, **Coréen (Ko)**, **Russe**, **Suédois (Sv)**, et **Ukrainien (Uk)**. Cependant, le texte ne précise pas explicitement les 6 paires de langues, mais ces langues pourraient former des paires comme **En-Fr**, **En-Hi**, **En-Ko**, **En-Ru**, **En-Sv**, et **En-Uk** [S3].

2. **Langues mentionnées dans [S1]** :  
   - Le tableau 8 de [S1] liste des paires de langues comme **Anglais (ENG)**, **Espagnol (SPA)**, **Kiswahili (SWA)**, et **Welsh (CYM)**. Cependant, le texte ne mentionne pas 6 paires spécifiques, mais des exemples de paires entre ces langues [S1].

3. **Langues mentionnées dans [S6]** :  
   - Le document [S6] indique que 210 paires de langues sont utilisées avec 15 langues, mais cela ne correspond pas aux 6 paires demandées [S6].

**Conclusion** :  
Les sources ne mentionnent pas explicitement 6 paires de langues. Cependant, [S3] liste 7 langues qui pourraient former des paires comme **En-Fr**, **En-Hi**, **En-Ko**, **En-Ru**, **En-Sv**, et **En-Uk**. Ces paires sont basées sur l'interprétation des langues mentionnées dans le contexte.  
**Réponse** : Les 6 paires de langues expérimentées incluent probablement **Anglais-Français**, **Anglais-Hindi**, **Anglais-Coréen**, **Anglais-Russe**, **Anglais-Suédois**, et **Anglais-Ukrainien** [S3].",False,False,réponse attendue absente de la réponse produite,False,0.0,,0.0156,True,True,False,0.0,3.0,190901638|191103058|200304866,aucun,53.319
paper_tab:04012650a45d56c0013cf45fd9792f43916eaf83,How much is performance hurt when using too small amount of layers in encoder?,paper_tab,True,"comparing to the results from reducing the number of layers in the decoder, the BLEU score was 69.93 which is less than 1% in case of test2016 and in case of test2017 it was less by 0.2 %. In terms of TER it had higher score by 0.7 in case of test2016 and 0.1 in case of test2017.",1908.06151.pdf,ECHEC_RETRIEVAL,,"La performance est affectée lorsque l'encodage utilise un nombre trop faible de couches, comme indiqué dans les sources. Selon [S1], ""un trop petit nombre de couches [d'encodage] nuit à la performance"", et [S3] précise que ""réduire la profondeur de l'encodeur nuit effectivement à la performance"". Cependant, les sources ne quantifient pas le déclin exact (par exemple, en termes de points BLEU ou de taux d'erreur), se contentant de souligner un impact négatif. Ainsi, les données disponibles confirment que la réduction du nombre de couches d'encodage entraîne une perte de performance, mais sans préciser l'ampleur exacte.",False,False,réponse attendue absente de la réponse produite,False,0.6129,1.0,0.0,True,True,False,0.0,2.0,190806151,aucun,8.004
paper_tab:0682bf049f96fa603d50f0fdad0b79a5c55f6c97,Do they analyze specific derogatory words?,paper_tab,True,Yes,2003.03014.pdf,ECHEC_RETRIEVAL,,"La question de l'analyse de mots dérogatoires spécifique est abordée dans les sources documentaires. Les extraits indiquent que des termes comme **""homosexual""** sont analysés pour leur connotation dénigrante. Par exemple :  
- Le mot **""homosexual""** est considéré comme **dépassé et dénigrant** par de nombreux membres de la communauté LGBTQ, car son histoire clinique a suggéré que ""les personnes attirées par le même sexe sont malades ou désordonnées"" [S1].  
- Une étude de Smith et al. (2017) montre que l'utilisation du terme **""homosexual""** dans des enquêtes réduit le soutien aux droits LGBTQ, en raison de son association avec des stéréotypes négatifs [S2].  
- L'analyse de la **valeur affective** (valence) des mots environnants de ""homosexual"" et ""gay"" révèle que le premier est associé à des contextes plus négatifs, ce qui pourrait contribuer à une déhumanisation [S8].  

Ces analyses s'appuient sur des méthodes lexicales et des études de connotation, en distinguant les effets des termes spécifiques comme **""homosexual""** par rapport à **""gay""** [S3][S4]. Aucune source ne mentionne l'analyse de mots dérogatoires autres que ces exemples.",False,False,réponse attendue absente de la réponse produite,False,0.6857,1.0,0.0274,True,True,False,0.0,5.0,200303014,aucun,10.055
paper_tab:085147cd32153d46dd9901ab0f9195bfdbff6a85,What are the baseline models?,paper_tab,True,"MC-CNN
MVCNN
CNN",1603.00968.pdf,ECHEC_RETRIEVAL,,"Les modèles de base (baseline models) sont des modèles de référence utilisés comme point de comparaison dans les expériences de recherche. Selon les sources documentaires :  

1. **Définition et contexte** :  
   - Le modèle de base est décrit comme un modèle simple, par exemple un ""1 layered CNN model"" [S1], ou un modèle basé sur des caractéristiques structurées [S3]. Il sert de référence pour évaluer l'amélioration apportée par des modèles plus complexes (comme McM ou des modèles combinant des features cliniques).  
   - Dans certains cas, le modèle de base est un classifieur de base (comme le Logistic Regression ou le Random Forest) [S3], ou un modèle entraîné avec des techniques standard (comme le CTC-loss) [S8].  

2. **Performance** :  
   - Le modèle de base est souvent sous-performant par rapport à des modèles améliorés. Par exemple, dans [S1], il est mentionné que le modèle de base ""performe le pire parmi tous les expériences"" en raison de sa simplicité et de sa difficulté à gérer des cas complexes comme le code-switching ou la grammaire non standard.  
   - Dans [S3], le modèle de base (avec des features structurées) obtient un F1-score de 0,63, tandis que des variations comme ""Baseline+Clinical Sentiment"" améliorent ce score à 0,72.  

3. **Exemples concrets** :  
   - Dans [S8], des modèles de base incluent des architectures comme ""Wav2Letter"" et ""6-layer bLSTM"", entraînés avec des pertes spécifiques (CTC-loss).  
   - Dans [S6], le modèle de base est amélioré en ajoutant des features médicales (comme les entités bio-médicales), montrant que les modèles de base peuvent être optimisés pour des domaines spécifiques.  

4. **Contraintes et limites** :  
   - Les modèles de base sont souvent limités par leur simplicité, comme le souligne [S1] qui explique que leur faible capacité à gérer des variations linguistiques complexes (code-switching, orthographe non standard) en fait des modèles moins performants.  

Ces informations sont extraites des documents consultés [S1], [S2], [S3], [S6], [S8]. Les sources ne mentionnent pas de contradictions sur la définition des modèles de base.",False,False,réponse attendue absente de la réponse produite,False,0.0,,0.1593,True,True,False,0.0,5.0,160301987|180700868|191004006|191113066,aucun,11.817
paper_tab:0af16b164db20d8569df4ce688d5a62c861ace0b,what were the baselines?,paper_tab,True,"BOW-LR, BOW-RF. TFIDF-RF, TextCNN, C-TextCNN",1908.06264.pdf,ECHEC_RETRIEVAL,,"Les ""baselines"" mentionnées dans les documents se réfèrent à des modèles de référence ou des approches standard utilisées dans des expériences de traitement du langage naturel (NLP) ou d'apprentissage automatique. Voici les principales baselines identifiées :

1. **Baseline système encoder-décodeur** :  
   - Décris comme un système d'encodeur-décodeur travaillant sur des séquences de caractères, prenant en entrée un lemme et générant une forme de mot. Il intègre des embeddings contextuels et utilise un mécanisme d'attention. [S8]

2. **Modèles baselines techniques** :  
   - **CNN avec couches Highway** : Un modèle de réseau de neurones convolutif avec des couches Highway, développé par Chen et Soo (2018) et Srivastava et al. (2015).  
   - **Transformer** : Un modèle basé sur l'attention auto-encodée, comparé à d'autres architectures. [S10]

3. **Baselines pour le QA (Question Answering)** :  
   - **BiDAF (Bidirectional Attention Flow)** : Un modèle multi-couches prédissant un span de texte à partir d'un passage.  
   - **SlidingWindow (SW)** et **SlidingWindow+Distance (SW+D)** : Des approches basées sur l'analyse contextuelle pour extraire des réponses. [S11]

4. **Baselines statistiques** :  
   - **MajorityClass** : Prédit la classe la plus fréquente dans l'ensemble d'entraînement.  
   - **Bag-of-Words** : Un classifieur linéaire basé sur des mots, avec des embeddings de type fastText. [S12]

Ces baselines sont utilisées comme points de référence pour évaluer la performance de modèles plus avancés dans des tâches comme la génération de texte, le QA ou la classification. Les sources ne mentionnent pas de conflits sur ces définitions.",False,False,réponse attendue absente de la réponse produite,False,0.0,,0.0952,True,True,False,0.0,4.0,170703904|180901541|190900252|200308385,aucun,12.345
paper_tab:0c7823b27326b3f5dff51f32f45fc69c91a4e06d,In which setting they achieve the state of the art?,paper_tab,True,in open-ended task esp. for counting-type questions,1703.06492.pdf,ECHEC_RETRIEVAL,,"Les études mentionnent que l'état de l'art est atteint dans plusieurs contextes spécifiques :  
1. **Dans le cadre de tests fermés** : Le modèle décrit dans [S1] atteint un état de l'art en surpassant d'autres modèles sur les datasets MSR et AS, dans un cadre de test fermé où les ressources externes ne sont pas autorisées.  
2. **Avec les modèles d'attention (Transformers)** : [S4] indique que les résultats d'état de l'art ont été obtenus grâce aux modèles d'attention, notamment les Transformers, pour des tâches comme la classification de texte.  
3. **Dans des tâches de compréhension du langage** : [S6] précise que des performances d'état de l'art ont été atteintes dans des tâches comme le question-answering, l'inférence de langage naturel, la similarité sémantique et l'analyse de sentiment.  

Ces résultats sont explicitement liés aux configurations et datasets mentionnés dans les sources.",False,False,réponse attendue absente de la réponse produite,False,0.0,,0.0556,True,True,False,0.0,3.0,191010781|191014537|200100137,aucun,12.338
paper_tab:11dde2be9a69a025f2fc29ce647201fb5a4df580,By how much does the new parser outperform the current state-of-the-art?,paper_tab,True,Proposed method achieves 94.5 UAS and 92.4 LAS  compared to 94.3 and 92.2 of best state-of-the -art greedy based parser. Best state-of-the art parser overall achieves 95.8 UAS and 94.6 LAS.,1710.09340.pdf,ECHEC_GENERATION,,"Le nouveau parseur NL-Covington outrepasse légèrement le state-of-the-art actuel en termes de précision. Selon les données de la Table 2 (S2), pour l'anglais, le parseur NL-Covington atteint un UAS (Unlabeled Attachment Score) de 94,5 et un LAS (Labeled Attachment Score) de 92,4, contre 94,3 et 92,2 pour le state-of-the-art précédent (Qi et Manning, 2017). Cela représente une amélioration de 0,2 points en UAS et de 0,2 points en LAS [S2]. De plus, le texte mentionne que le nouveau parseur ""slightly outperforms"" le système arc-swift de Qi et Manning (2017) avec le même architecture de modèle [S3]. Ces résultats confirment une amélioration marginale mais significative par rapport aux méthodes existantes.",False,False,réponse attendue absente de la réponse produite,True,0.7379,1.0,0.1765,True,True,False,0.0,2.0,171009340,aucun,9.536
paper_tab:12ac76b77f22ed3bcb6430bcd0b909441d79751b,What are the competing models?,paper_tab,True,"TEACHER FORCING (TF), SCHEDULED SAMPLING (SS),  SEQGAN, RANKGAN, LEAKGAN.",1910.11235.pdf,ECHEC_RETRIEVAL,,"Les modèles concurrents mentionnés dans les sources sont principalement des modèles d'inférence de langage naturel (NLG) et de réponse aux questions (Q&A), évalués sur des ensembles de données comme le MS MARCO V2 et le dev.set de NLG. Voici les informations clés extraites :

1. **Modèles concurrents dans les tests d'ablation (Table 3)** :  
   - **BiDAFa** : Performances en ROUGE-L (16.91) et BLEU-1 (9.30) [S2].  
   - **DeepCascadeQAb** : ROUGE-L (35.14), BLEU-1 (37.35) [S2].  
   - **S-Net+CES2Sc** : ROUGE-L (45.04), BLEU-1 (40.62) [S2].  
   - **BERT+Multi-PGNetd** : ROUGE-L (47.37), BLEU-1 (45.09) [S2].  
   - **Selector+CCGe** : ROUGE-L (47.39), BLEU-1 (45.26) [S2].  
   - **VNET** : ROUGE-L (48.37), BLEU-1 (46.75) [S2].  
   - **Masque (NLG;single)** : ROUGE-L (49.19), BLEU-1 (49.63) [S2].  
   Ces modèles sont comparés à l'ensemble de l'approche proposée, qui améliore les performances en utilisant des styles multiples et un décodeur de réponse optimisé [S1][S3].

2. **Modèles concurrents sur le leaderboard MS MARCO V2** :  
   - **Bing (initial ranking)** : MAP (34.62), MRR (35.00) [S2].  
   - **Masque (single)** : MAP (69.51), MRR (69.96) [S2].  
   - **HumanPerformance** : MAP (63.21), MRR (53.03) [S2].  
   Le modèle proposé dépasse ces modèles en termes de performance, notamment grâce à l'ensemble de l'approche et à l'intégration du ranker et du classifieur [S3].

3. **Modèles concurrents dans le contexte de l'évaluation de la trésorerie** :  
   - **Masque (NLG;ensemble)** : ROUGE-L (49.61), BLEU-1 (50.13) [S2].  
   - **Masque (Q&A;single)** : ROUGE-L (25.66), BLEU-1 (36.62) [S2].  
   Ces modèles sont évalués en comparaison avec l'approche proposée, qui utilise des métriques comme ROUGE-L et BLEU-1 pour mesurer la qualité des réponses [S1][S2].

**Conclusion** : Les modèles concurrents incluent des architectures variées (BiDAFa, DeepCascadeQAb, BERT+Multi-PGNetd, etc.) et des approches basées sur des métriques de texte (ROUGE-L, BLEU-1). Le modèle proposé améliore leurs performances grâce à l'ensemble de l'approche, à l'apprentissage multi-style et à l'intégration de composants comme le ranker et le classifieur [S1][S2][S3].",False,False,réponse attendue absente de la réponse produite,False,0.0,,0.2583,True,True,False,0.0,3.0,190102262,aucun,19.376
paper_tab:1462eb312944926469e7cee067dfc7f1267a2a8c,How many different types of entities exist in the dataset?,paper_tab,True,"OurNepali contains 3 different types of entities, ILPRL contains 4 different types of entities",1908.05828.pdf,ERREUR_TECHNIQUE,ErreurGeneration: Le LLM a retourné une réponse vide.,,,,,,,,,,,,,,,,
paper_tab:157b9f6f8fb5d370fa23df31de24ae7efb75d6f3,How do their results compare against other competitors in the PAN 2017 shared task on Author Profiling?,paper_tab,True,"They achieved best result in the PAN 2017 shared task with accuracy for Variety prediction task 0.0013 more than the 2nd best baseline, accuracy for Gender prediction task 0.0029 more than 2nd best baseline and accuracy for Joint prediction task 0.0101 more than the 2nd best baseline",1707.03764.pdf,ECHEC_RETRIEVAL,,"La question compare les résultats des auteurs (Zhang & Abdul-Mageed) aux concurrents dans le cadre de la tâche partagée PAN 2017 sur le profilage d'auteur. Cependant, les documents fournis ne contiennent **aucune information sur les performances des autres concurrents** dans ce contexte. 

Les sources disponibles indiquent uniquement les résultats obtenus par les modèles de Zhang & Abdul-Mageed :  
- **Précision de 54,72 % pour l'âge** [S3],  
- **93,75 % pour la variété linguistique** [S3],  
- **81,67 % pour le genre** [S3],  
- **40,97 % de précision jointe** sur les trois tâches [S3].  

Aucune donnée comparative avec d'autres participants n'est fournie dans les extraits consultés ([S1], [S3], [S4], [S5]). Les références à d'autres travaux (comme [S1] ou [S4]) mentionnent la tâche PAN 2017, mais sans détailler les résultats des concurrents.  

**Conclusion** : Les documents ne permettent pas de répondre à la question de comparaison avec d'autres participants, car aucun benchmark ou métrique comparative n'est fourni.",False,False,réponse attendue absente de la réponse produite,False,0.0,,0.0606,True,True,False,0.0,4.0,170902271|190904181,aucun,10.71
