id,question,subset,expected_document,document_indexe,page_gold,plafond,atteint,couverture_relative,rang_premier_utile,passages_utiles,passages_pour_80pct,recouvrement_ngrammes,jetons_gold,erreur,passages_total,passages_du_document,pages_recuperees,page_gold_atteinte,couverture_suffisante,duree_secondes
paper_tab:2ddb51b03163d309434ee403fef42d6b9aecc458,what were the baselines?,paper_tab,1904.03288.pdf,False,,1.0,0.0,0.0,,0,,0.0,70,,8,0,,,False,10.895
paper_tab:53377f1c5eda961e438424d71d16150e669f7072,Which state-of-the-art model is surpassed by 9.68% attraction score?,paper_tab,2004.01980.pdf,True,,0.81,0.57,0.7037037037037036,1.0,4,,0.15853658536585366,100,,7,4,1|5|7,,True,0.498
paper_tab:5a23f436a7e0c33e4842425cf86d5fd8ba78ac92,How big is dataset used?,paper_tab,2004.01878.pdf,True,,0.375,0.0,0.0,,0,,0.0,8,,9,0,,,False,0.464
paper_tab:6aaf12505add25dd133c7b0dafe8f4fe966d1f1d,what previous RNN models do they compare with?,paper_tab,1808.09029.pdf,True,,0.9166666666666666,0.5416666666666666,0.5909090909090909,6.0,1,,0.028985507246376812,48,,8,3,1|11,,False,0.483
paper_tab:9176d2ba1c638cdec334971c4c7f1bb959495a8e,What are the source and target domains?,paper_tab,1809.00530.pdf,True,,0.8875,0.34375,0.38732394366197187,1.0,3,,0.02903225806451613,160,,12,3,1,,False,0.47
paper_tab:9349acbfce95cb5d6b4d09ac626b55a9cb90e55e,What are the citation intent labels in the datasets?,paper_tab,1904.01608.pdf,True,,0.9411764705882353,0.8823529411764706,0.9375,1.0,1,1.0,0.6666666666666666,17,,7,4,2|4|5,,True,0.447
paper_tab:9c4a4dfa7b0b977173e76e2d2f08fa984af86f0e,How does TP-N2F compare to LSTM-based Seq2Seq in terms of training and inference speed?,paper_tab,1910.02339.pdf,True,,0.7712418300653595,0.5882352941176471,0.7627118644067796,1.0,4,,0.27205882352941174,153,,7,4,1|8,,True,0.438
paper_tab:a02696d4ab728ddd591f84a352df9375faf7d1b4,How large is the Dialog State Tracking Dataset?,paper_tab,1605.07683.pdf,True,,0.7321428571428571,0.39285714285714285,0.5365853658536586,1.0,4,,0.057971014492753624,56,,7,4,3|5|8,,False,0.441
paper_tab:c17b609b0b090d7e8f99de1445be04f8f66367d4,What rouge score do they achieve?,paper_tab,1908.08345.pdf,True,,0.8832684824902723,0.30739299610894943,0.3480176211453745,1.0,2,,0.03761755485893417,257,,7,2,6,,False,0.443
paper_text:1bdc990c7e948724ab04e70867675a334fdd3051,Where do they get the recipes from?,paper_text,1909.00105.pdf,True,,0.8541666666666666,0.5833333333333334,0.6829268292682927,1.0,4,,0.05,48,,8,5,1|2|8,,False,0.44
paper_text:4bdad5a20750c878d1a891ef255621f6172b6a79,How does discrete latent variable has an explicit semantic meaning to improve the CVAE on short-text conversation?,paper_text,1911.09845.pdf,True,,0.9210526315789473,0.8421052631578947,0.9142857142857143,1.0,4,3.0,0.47115384615384615,76,,11,9,1|3,,True,0.431
paper_text:6a633811019e9323dc8549ad540550d27aa6d972,Is it valid to presume a bad medical wikipedia article should not contain much domain-specific jargon?,paper_text,1603.01987.pdf,True,,0.9571428571428572,0.5571428571428572,0.582089552238806,1.0,5,,0.009708737864077669,70,,11,5,1|2|15,,False,0.448
paper_text:8cb9006bcbd2f390aadc6b70d54ee98c674e45cc,"How is the data collected, which web resources were used?",paper_text,1911.12579.pdf,True,,0.5543478260869565,0.32608695652173914,0.5882352941176471,1.0,3,,0.0661764705882353,92,,8,3,4,,False,0.435
paper_text:9a8b9ea3176d30da2453cac6e9347737c729a538,what were their performance results?,paper_text,1912.06262.pdf,True,,0.5862068965517241,0.0,0.0,,0,,0.0,29,,7,0,,,False,0.433
paper_text:a253749e3b4c4f340778235f640ce694642a4555,Which corpora does this paper analyse?,paper_text,1908.08717.pdf,True,,0.49411764705882355,0.0,0.0,,0,,0.0,85,,6,0,,,False,0.439
paper_text:c59078efa7249acfb9043717237c96ae762c0a8c,which existing strategies are compared?,paper_text,1905.12801.pdf,True,,0.8860759493670886,0.379746835443038,0.4285714285714286,1.0,3,,0.02608695652173913,79,,9,5,1|5,,False,0.444
paper_text:d40662236eed26f17dd2a3a9052a4cee1482d7d6,How do they represent input features of their model to train embeddings?,paper_text,1611.02550.pdf,True,,0.8032786885245902,0.5245901639344263,0.653061224489796,1.0,3,,0.02127659574468085,61,,7,3,2|4,,False,0.441
