id,question,subset,expected_document,erreur,duree_secondes,documents_recuperes,rang_document_attendu,nombre_passages,candidats_recuperes,reranking_utilise,contexte_insuffisant,motif_absence,perimetre_statut,perimetre_contraignant,perimetre_libelle,hit@1,precision@1,recall@1,mrr@1,map@1,hit@3,precision@3,recall@3,mrr@3,map@3,hit@5,precision@5,recall@5,mrr@5,map@5,hit@10,precision@10,recall@10,mrr@10,map@10
paper_tab:2ddb51b03163d309434ee403fef42d6b9aecc458,what were the baselines?,paper_tab,1904.03288.pdf,,56.89,200401980|160507683|200401878|190401608|160301987,,10,32,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:53377f1c5eda961e438424d71d16150e669f7072,Which state-of-the-art model is surpassed by 9.68% attraction score?,paper_tab,2004.01980.pdf,,0.567,200401980|200105493|190401608|190808345|191206262|180900530,1.0,10,35,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:5a23f436a7e0c33e4842425cf86d5fd8ba78ac92,How big is dataset used?,paper_tab,2004.01878.pdf,,0.471,160507683|180900530|190900105|200105493|160503481|190401608|190808717,,10,29,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:6aaf12505add25dd133c7b0dafe8f4fe966d1f1d,what previous RNN models do they compare with?,paper_tab,1808.09029.pdf,,0.533,161102550|200401878|180809029|200105493|190900105,3.0,10,33,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,0.3333333333333333,0.3333333333333333,1.0,0.1,1.0,0.3333333333333333,0.3333333333333333
paper_tab:9176d2ba1c638cdec334971c4c7f1bb959495a8e,What are the source and target domains?,paper_tab,1809.00530.pdf,,0.461,180900530|200401980|160507683|160301987,1.0,10,28,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:9349acbfce95cb5d6b4d09ac626b55a9cb90e55e,What are the citation intent labels in the datasets?,paper_tab,1904.01608.pdf,,0.476,190401608|180900530|160301987|200105493,1.0,9,27,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:9c4a4dfa7b0b977173e76e2d2f08fa984af86f0e,How does TP-N2F compare to LSTM-based Seq2Seq in terms of training and inference speed?,paper_tab,1910.02339.pdf,,0.475,191002339|180809029|161102550|200105493,1.0,10,29,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:a02696d4ab728ddd591f84a352df9375faf7d1b4,How large is the Dialog State Tracking Dataset?,paper_tab,1605.07683.pdf,,0.529,160507683|180900530|190808717|200105493|160503481|190512801,1.0,10,33,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:c17b609b0b090d7e8f99de1445be04f8f66367d4,What rouge score do they achieve?,paper_tab,1908.08345.pdf,,0.594,190808345|200401980|161102550|190900105|190401608|191109845,1.0,10,38,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_text:1bdc990c7e948724ab04e70867675a334fdd3051,Where do they get the recipes from?,paper_text,1909.00105.pdf,,0.463,190900105|190808717|160507683|191112579|180900530,1.0,9,26,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
