id,question,subset,expected_document,document_indexe,page_gold,plafond,atteint,couverture_relative,rang_premier_utile,passages_utiles,passages_pour_80pct,recouvrement_ngrammes,jetons_gold,erreur,passages_total,passages_du_document,document_retrouve,pages_recuperees,page_gold_atteinte,couverture_suffisante,duree_secondes
paper_tab:085147cd32153d46dd9901ab0f9195bfdbff6a85,What are the baseline models?,paper_tab,1603.00968.pdf,True,,0.8709677419354839,0.0,0.0,,0,,0.0,93,,9,0,False,,,False,21.668
paper_tab:12ac76b77f22ed3bcb6430bcd0b909441d79751b,What are the competing models?,paper_tab,1910.11235.pdf,True,,0.5789473684210527,0.0,0.0,,0,,0.0,19,,8,0,False,,,False,1.294
paper_tab:1462eb312944926469e7cee067dfc7f1267a2a8c,How many different types of entities exist in the dataset?,paper_tab,1908.05828.pdf,True,,0.9239130434782609,0.0,0.0,,0,,0.0,92,,7,0,False,,,False,1.364
paper_tab:157b9f6f8fb5d370fa23df31de24ae7efb75d6f3,How do their results compare against other competitors in the PAN 2017 shared task on Author Profiling?,paper_tab,1707.03764.pdf,False,,1.0,0.0,0.0,,0,,0.0,93,,7,0,False,,,False,1.399
paper_tab:1a8b7d3d126935c09306cacca7ddb4b953ef68ab,What were their results?,paper_tab,1707.08559.pdf,True,,0.8666666666666667,0.0,0.0,,0,,0.0,15,,8,0,False,,,False,1.306
paper_tab:1cbca15405632a2e9d0a7061855642d661e3b3a7,How much improvement do they get?,paper_tab,2004.03788.pdf,True,,0.8333333333333334,0.0,0.0,,0,,0.0,6,,7,0,False,,,False,1.395
paper_tab:1d3e914d0890fc09311a70de0b20974bf7f0c9fe,Which eight NER tasks did they evaluate on?,paper_tab,2004.03354.pdf,True,,0.8235294117647058,0.0,0.0,,0,,0.0,51,,7,0,False,,,False,1.337
paper_tab:2268c9044e868ba0a16e92d2063ada87f68b5d03,"Did ensemble schemes help in boosting peformance, by how much?",paper_tab,1909.06162.pdf,False,,1.0,0.0,0.0,,0,,0.0,211,,7,0,False,,,False,1.324
paper_tab:26c290584c97e22b25035f5458625944db181552,What is the size of their dataset?,paper_tab,1909.06937.pdf,True,,0.6666666666666666,0.0,0.0,,0,,0.0,6,,12,0,False,,,False,0.878
paper_tab:2a6003a74d051d0ebbe62e8883533a5f5e55078b,which neural embedding model works better?,paper_tab,1702.03342.pdf,True,,0.9333333333333333,0.4777777777777778,0.511904761904762,1.0,4,,0.014705882352941176,90,,7,4,True,4|5|22,,False,1.365
paper_tab:2ddb51b03163d309434ee403fef42d6b9aecc458,what were the baselines?,paper_tab,1904.03288.pdf,True,,0.8,0.0,0.0,,0,,0.0,70,,12,0,False,,,False,0.938
paper_tab:307e8ab37b67202fe22aedd9a98d9d06aaa169c5,Does the paper report the performance of a baseline model on South African languages LID?,paper_tab,1911.07555.pdf,True,,0.5961538461538461,0.38461538461538464,0.6451612903225807,1.0,4,,0.0,52,,7,4,True,1|2|4,,False,1.394
paper_tab:30803eefd7cdeb721f47c9ca72a5b1d750b8e03b,How well does their system perform on the development set of SRE?,paper_tab,1611.00514.pdf,True,,0.74375,0.33125,0.4453781512605042,1.0,3,,0.008695652173913044,160,,7,3,True,1,,False,1.27
