id,question,subset,expected_document,erreur,duree_secondes,documents_recuperes,rang_document_attendu,nombre_passages,candidats_recuperes,reranking_utilise,contexte_insuffisant,motif_absence,perimetre_statut,perimetre_contraignant,perimetre_libelle,hit@1,precision@1,recall@1,mrr@1,map@1,hit@3,precision@3,recall@3,mrr@3,map@3,hit@5,precision@5,recall@5,mrr@5,map@5,hit@10,precision@10,recall@10,mrr@10,map@10
paper_tab:03ce42ff53aa3f1775bc57e50012f6eb1998c480,What 6 language pairs is experimented on?,paper_tab,1909.01013.pdf,,22.91,200304866|190109755|191103058|190901638|191005154|190909270|170801464|190601183|191210167|190511901,,30,37,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:04012650a45d56c0013cf45fd9792f43916eaf83,How much is performance hurt when using too small amount of layers in encoder?,paper_tab,1908.06151.pdf,,1.14,190806151|180700868|191109483|190902480|191014537|191010408|180705154|190911687|200210832|180408050,1.0,30,37,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:0682bf049f96fa603d50f0fdad0b79a5c55f6c97,Do they analyze specific derogatory words?,paper_tab,2003.03014.pdf,,1.046,200303014|191203804|190206843|180505581|200402192|170306492|170910367|161103382|200105467|181010797,1.0,30,38,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:085147cd32153d46dd9901ab0f9195bfdbff6a85,What are the baseline models?,paper_tab,1603.00968.pdf,,1.078,191113066|180305223|191004006|160301987|170103051|190900105|180700868|200303044|190806083|190206843,,30,38,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:0af16b164db20d8569df4ce688d5a62c861ace0b,what were the baselines?,paper_tab,1908.06264.pdf,,1.01,190209393|180901541|181210479|191203627|160507683|161103599|200308385|190900252|170703904|160600189,,30,37,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:0c7823b27326b3f5dff51f32f45fc69c91a4e06d,In which setting they achieve the state of the art?,paper_tab,1703.06492.pdf,,1.084,191014537|200100137|191010781|190607701|191014599|200311562|190109755|160504655|180909795|200404721,,30,39,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:11dde2be9a69a025f2fc29ce647201fb5a4df580,By how much does the new parser outperform the current state-of-the-art?,paper_tab,1710.09340.pdf,,1.003,171009340|190806379|181206864|180809029|180804614|190403288|191108829|161007809|190209393|160304513,1.0,30,36,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:12ac76b77f22ed3bcb6430bcd0b909441d79751b,What are the competing models?,paper_tab,1910.11235.pdf,,1.077,190102262|191107555|200205058|200106354|160507683|190703060|161103382|190806379|180611432|200105493,,30,39,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1462eb312944926469e7cee067dfc7f1267a2a8c,How many different types of entities exist in the dataset?,paper_tab,1908.05828.pdf,,0.959,191100069|200312218|170109123|191210011|200206424|190410503|170703904|170203342|160508675|180105147,,30,31,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:157b9f6f8fb5d370fa23df31de24ae7efb75d6f3,How do their results compare against other competitors in the PAN 2017 shared task on Author Profiling?,paper_tab,1707.03764.pdf,,1.094,190904181|170902271|171009589|180305223|191107555|161103599|190408386|190806083|160508675|191110049,,30,38,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:160e6d2fc6e04bb0b4ee8d59c06715355dec4a17,What accuracy score do they obtain?,paper_tab,1911.13066.pdf,,1.101,181210479|200100137|191113066|190404358|200306279|191106191|190900252|170203342|191111750|180900530,3.0,30,39,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,1.0,0.3333333333333333,0.3333333333333333,1.0,0.1,1.0,0.3333333333333333,0.3333333333333333
paper_tab:16af38f7c4774637cf8e04d4b239d6d72f0b0a3a,How large is the dataset?,paper_tab,2002.10361.pdf,,0.973,180904960|160503481|191203627|181112254|180900530|170100185|191102821|190908041|191109483|180900540,,30,39,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:171ebfdc9b3a98e4cdee8f8715003285caeb2f39,How better is accuracy of new model compared to previously reported models?,paper_tab,1909.08859.pdf,,1.114,191004269|190404358|191107555|191102711|180902279|200306044|191200667|160300968|200100137|191014599,,30,38,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1a8b7d3d126935c09306cacca7ddb4b953ef68ab,What were their results?,paper_tab,1707.08559.pdf,,1.063,160301987|200306279|191200864|190807816|170109123|171009589|200304642|161102550|170905413|170104653,,30,40,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1adbdb5f08d67d8b05328ccc86d297ac01bf076c,What languages do they use?,paper_tab,1810.03459.pdf,,1.009,191107555|191112579|191004269|200304866|191213109|191203457|191103058|191113066|200402083|191103310,,30,38,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1b72aa2ec3ce02131e60626639f0cf2056ec23ca,How long is the dataset for each step of hierarchy?,paper_tab,1902.09666.pdf,,1.013,190506566|191210011|191010781|170700110|190806267|191102821|190903405|190801294|200311645|190908859,,30,39,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1bb7eb5c3d029d95d1abf9f2892c1ec7b6eef306,what was their character error rate?,paper_tab,1703.07090.pdf,,1.039,181003459|200201320|200201207|170408960|190800153|180700868|160503481|191014537|191014599|161205310,,30,39,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1cbca15405632a2e9d0a7061855642d661e3b3a7,How much improvement do they get?,paper_tab,2004.03788.pdf,,1.105,161103599|200306279|180906537|191210435|170500861|200100137|161104798|190806151|160307044|190908041,,30,38,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1d3e914d0890fc09311a70de0b20974bf7f0c9fe,Which eight NER tasks did they evaluate on?,paper_tab,2004.03354.pdf,,1.037,170109123|190909270|190605474|190805828|200206424|190601183|160806757|200311645|191102821|160508675,,30,32,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1f63ccc379f01ecdccaa02ed0912970610c84b72,How much is the gap between using the proposed objective and using only cross-entropy objective?,paper_tab,1711.00106.pdf,,1.109,191112569|160504655|180208636|200106354|160503481|181012085|170307090|191113066|180900530|190311437,,30,38,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:20ec88c45c1d633adfd7bff7bbf3336d01fb6f37,what are the evaluation metrics?,paper_tab,1701.09123.pdf,,1.057,191113066|170100185|200404228|190900279|191103310|191210011|160700410|190805434|191208960|190801294,,30,35,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:2268c9044e868ba0a16e92d2063ada87f68b5d03,"Did ensemble schemes help in boosting peformance, by how much?",paper_tab,1909.06162.pdf,,1.067,190102262|180809920|190806151|191100069|200106354|190206843|191014599|170109123|181206864|191105153,,30,36,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:234ccc1afcae4890e618ff2a7b06fc1e513ea640,How big is performance improvement proposed methods are used?,paper_tab,1911.05153.pdf,,1.095,170100185|180408050|200306279|200100137|180705154|160700410|170307090|190601183|160602006|200106888,,30,38,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:25e4dbc7e211a1ebe02ee8dff675b846fb18fdc5,What external sources are used?,paper_tab,1704.08960.pdf,,1.108,170408960|181007091|190908041|190311437|190800153|180802022|170104653|200205829|191108829|170109123,1.0,30,37,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:26c290584c97e22b25035f5458625944db181552,What is the size of their dataset?,paper_tab,1909.06937.pdf,,0.93,180904960|191102821|170100185|190908041|170703904|181112254|180900540|180900530|191109483|191203627,,30,36,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:2815bac42db32d8f988b380fed997af31601f129,What is improvement in accuracy for short Jokes in relation other types of jokes?,paper_tab,1909.00252.pdf,,1.049,190900252|200306279|200100137|200403788|170902271|191010408|191106191,1.0,30,33,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:286078813136943dfafb5155ee15d2429e7601d9,How much better than the baseline is LiLi?,paper_tab,1802.06024.pdf,,0.843,180206024|160307044|171203547|190311437|191210011|191002339|191014599|200201207|191107555,1.0,30,30,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:2a6003a74d051d0ebbe62e8883533a5f5e55078b,which neural embedding model works better?,paper_tab,1702.03342.pdf,,1.014,170203342|191206262|191010869|190601183|170100185|200100137|181210479|160504655|180609103|160300968,1.0,30,35,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:2d274c93901c193cf7ad227ab28b1436c5f410af,What are the baselines that Masque is compared against?,paper_tab,1901.02262.pdf,,1.073,190102262|180709671|190900252|190608382|191008210|190102534|161103599|191210011|190909484|180809920,1.0,30,37,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:2d4d0735c50749aa8087d1502ab7499faa2f0dd8,By how much do they outperform previous state-of-the-art models?,paper_tab,1908.05434.pdf,,1.056,191109483|191210011|191102821|180903449|180909795|181206864|161103599|180902279|190506566|200306044,,30,35,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:2ddb51b03163d309434ee403fef42d6b9aecc458,what were the baselines?,paper_tab,1904.03288.pdf,,1.042,190209393|180901541|181210479|191203627|160507683|161103599|200308385|190900252|170703904|160600189,,30,37,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:307e8ab37b67202fe22aedd9a98d9d06aaa169c5,Does the paper report the performance of a baseline model on South African languages LID?,paper_tab,1911.07555.pdf,,1.051,191107555|191113066|190209666|191006748|170801464|180700868|170703904|170109123|190601183|160600189,1.0,30,36,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:30803eefd7cdeb721f47c9ca72a5b1d750b8e03b,How well does their system perform on the development set of SRE?,paper_tab,1611.00514.pdf,,1.058,161100514|170608032|170703904|191108829|191100069|160508675|191006748|191013215|190806151|190102534,1.0,30,38,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:327e6c6609fbd4c6ae76284ca639951f03eb4a4c,By how much is performance on CN-Celeb inferior to performance on VoxCeleb?,paper_tab,1911.01799.pdf,,1.042,191101799|191203627|191014537|200306279|191107555|191013215|200107820|191102086|170703904|181206864,1.0,30,32,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:32a3c248b928d4066ce00bbb0053534ee62596e7,What is MSD prediction?,paper_tab,1809.01541.pdf,,1.022,180901541|180906537|170706878|191113066|180900530|170608032|200401878|191000194|190206843|190807245,1.0,30,36,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:34dd0ee1374a3afd16cf8b0c803f4ef4c6fec8ac,What are the comparable alternative architectures?,paper_tab,1603.00968.pdf,,1.117,160300968|181012085|181206864|191001363|191106171|200311562|200312738|191106191|180208636|191102086,1.0,30,39,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:34fab25d9ceb9c5942daf4ebdab6c5dd4ff9d3db,What dataset did they use?,paper_tab,1911.02821.pdf,,0.906,190907734|180909795|181112254|191010781|170608032|190709369|190601183|191203627|161103599|190908041,,30,37,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:35b3ce3a7499070e9b280f52e2cb0c29b0745380,Does the paper report the performance of the model for each individual language?,paper_tab,2003.08385.pdf,,1.079,191113066|190801294|171009589|170109123|190806606|191010781|180901541|170801464|190801060|191005154,,30,39,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:37e8f5851133a748c4e3e0beeef0d83883117a98,How better is performance of proposed model compared to baselines?,paper_tab,1910.08210.pdf,,1.092,190909484|191113066|180904960|200100137|190806606|190801060|171203547|190908859|160700410|191210011,,30,37,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:384d571e4017628ebb72f3debb2846efaf0cb0cb,On what dataset is Aristo system trained?,paper_tab,1909.01958.pdf,,1.015,190901958|191210011|190109755|181206864|180105147|170109123|181007091|191008772|190908041|190410503,1.0,30,32,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:38c74ab8292a94fc5a82999400ee9c06be19f791,How large is the corpus?,paper_tab,2002.10361.pdf,,1.015,200201207|191112579|191106191|190109755|170109123|190801060|180107804|200201320|191108829|200311645,,30,36,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:3a9d391d25cde8af3334ac62d478b36b30079d74,Does the paper report macro F1?,paper_tab,2003.07723.pdf,,1.03,171009589|190401608|191113066|180900530|190907734|181112254|180405918|190209314|161205310|190605474,,30,36,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:3f326c003be29c8eac76b24d6bba9608c75aa7ea,What evaluation metric is used?,paper_tab,1908.06083.pdf,,1.029,170100185|191112569|191210011|190601183|190909484|190900279|161103382|180208636|191103310|191000825,,30,32,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:3fb4334e5a4702acd44bd24eb1831bb7e9b98d31,How big are the datasets used?,paper_tab,1909.00361.pdf,,0.945,191102821|170100185|180900530|190907734|190601183|190806151|191010781|170703904|190511901|190506566,,30,38,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:40c0f97c3547232d6aa039fcb330f142668dea4b,Do they evaluate on English only datasets?,paper_tab,1709.10367.pdf,,1.088,200404721|190109755|191107555|190909587|191203627|191004269|200304866|191103058|180604511|190801294,,30,37,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:40e3639b79e2051bf6bce300d06548e7793daee0,Did they compare against other systems?,paper_tab,1901.04899.pdf,,1.067,200201207|180105147|170109123|191210011|190109755|180208636|171009589|191103058|180709671|190108079,,30,40,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:41173179efa6186eef17c96f7cbd8acb29105b0e,which tasks are used in BLUE benchmark?,paper_tab,1906.05474.pdf,,1.065,190605474|191210011|191109483|190903405|181206705|190909484|200205829|170500861|160507683|180902279,1.0,30,35,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
paper_tab:42bc4e0cd0f3e238a4891142f1b84ebcd6594bf1,Which models do they use as baselines on the Atomic dataset?,paper_tab,1909.08824.pdf,,1.103,191102821|190908824|191013890|200303044|190209393|170103051|190607701|160507683|190101010|200105467,2.0,30,39,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.5,0.5,1.0,0.2,1.0,0.5,0.5,1.0,0.1,1.0,0.5,0.5
