id,question,subset,expected_document,erreur,duree_secondes,documents_recuperes,rang_document_attendu,nombre_passages,candidats_recuperes,reranking_utilise,contexte_insuffisant,motif_absence,perimetre_statut,perimetre_contraignant,perimetre_libelle,hit@1,precision@1,recall@1,mrr@1,map@1,hit@3,precision@3,recall@3,mrr@3,map@3,hit@5,precision@5,recall@5,mrr@5,map@5,hit@10,precision@10,recall@10,mrr@10,map@10
paper_tab:085147cd32153d46dd9901ab0f9195bfdbff6a85,What are the baseline models?,paper_tab,1603.00968.pdf,,19.953,191113066|180305223|160507683|191004006|160301987|170103051|180705154|190206843|190904181,,10,40,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:12ac76b77f22ed3bcb6430bcd0b909441d79751b,What are the competing models?,paper_tab,1910.11235.pdf,,0.666,190601840|190102262|191107555|170100185|200106354|160507683|190703060|190806379|180611432|200105493,,10,40,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1462eb312944926469e7cee067dfc7f1267a2a8c,How many different types of entities exist in the dataset?,paper_tab,1908.05828.pdf,,0.667,191100069|200312218|170109123|200206424|190410503|170703904|200211910,,10,40,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:157b9f6f8fb5d370fa23df31de24ae7efb75d6f3,How do their results compare against other competitors in the PAN 2017 shared task on Author Profiling?,paper_tab,1707.03764.pdf,,0.673,190904181|170902271|171009589|180208636|161103599|180901541|200210361|190408386,,10,40,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1a8b7d3d126935c09306cacca7ddb4b953ef68ab,What were their results?,paper_tab,1707.08559.pdf,,0.662,170801464|190109755|191200864|190807816|190806264|190901958|191103058|171009589|161102550,,10,40,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1cbca15405632a2e9d0a7061855642d661e3b3a7,How much improvement do they get?,paper_tab,2004.03788.pdf,,0.662,200306279|180901541|170109123|170500861|190801060|190806151|160307044|190801294|190908041,,10,40,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1d3e914d0890fc09311a70de0b20974bf7f0c9fe,Which eight NER tasks did they evaluate on?,paper_tab,2004.03354.pdf,,0.665,170109123|190909270|190605474|190805828|200206424|190601183|160806757,,10,40,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:2268c9044e868ba0a16e92d2063ada87f68b5d03,"Did ensemble schemes help in boosting peformance, by how much?",paper_tab,1909.06162.pdf,,0.662,180405918|190102262|190806151|200106354|191210435|170109123|160307044|191005608,,10,40,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:26c290584c97e22b25035f5458625944db181552,What is the size of their dataset?,paper_tab,1909.06937.pdf,,0.66,180904960|191102821|170100185|190908041|170703904|181112254|180900540|181005241|180900530,,10,40,True,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:2a6003a74d051d0ebbe62e8883533a5f5e55078b,which neural embedding model works better?,paper_tab,1702.03342.pdf,,0.662,170203342|191010869|190601183|161102550|170100185|181210479|160504655|190805828,1.0,10,40,True,False,,aucun,False,—,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0
