id,question,subset,expected_document,erreur,duree_secondes,documents_recuperes,rang_document_attendu,nombre_passages,candidats_recuperes,reranking_utilise,contexte_insuffisant,motif_absence,perimetre_statut,perimetre_contraignant,perimetre_libelle,hit@1,precision@1,recall@1,mrr@1,map@1,hit@3,precision@3,recall@3,mrr@3,map@3,hit@5,precision@5,recall@5,mrr@5,map@5,hit@10,precision@10,recall@10,mrr@10,map@10
paper_tab:085147cd32153d46dd9901ab0f9195bfdbff6a85,What are the baseline models?,paper_tab,1603.00968.pdf,,17.202,191113066|160600189|190512801|160507683|170703569|191004006|160301987|191203627|191010408|180105147,,30,100,False,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:12ac76b77f22ed3bcb6430bcd0b909441d79751b,What are the competing models?,paper_tab,1910.11235.pdf,,0.112,191109845|180611432|200205058|160507683|191105153|200106354|200105493|191106191|190806379|190102262,,30,100,False,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1462eb312944926469e7cee067dfc7f1267a2a8c,How many different types of entities exist in the dataset?,paper_tab,1908.05828.pdf,,0.11,160508675|200312218|190807816|200206424|170109123|190908824|191100069|170703904|170203342|170902271,,30,100,False,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:157b9f6f8fb5d370fa23df31de24ae7efb75d6f3,How do their results compare against other competitors in the PAN 2017 shared task on Author Profiling?,paper_tab,1707.03764.pdf,,0.111,190904181|161103599|190900175|191014599|190408386|190903242|170902271|190806083|190900430|190209666,,30,100,False,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1a8b7d3d126935c09306cacca7ddb4b953ef68ab,What were their results?,paper_tab,1707.08559.pdf,,0.111,190907734|191008772|180709671|191200864|171009589|190311437|190807816|190601183|190900361|191210167,,30,100,False,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1cbca15405632a2e9d0a7061855642d661e3b3a7,How much improvement do they get?,paper_tab,2004.03788.pdf,,0.109,190806151|190311437|180309745|170500861|160700410|190908041|191010408|200306279|180705154|160307044,,30,100,False,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:1d3e914d0890fc09311a70de0b20974bf7f0c9fe,Which eight NER tasks did they evaluate on?,paper_tab,2004.03354.pdf,,0.109,190909270|160508675|170109123|190601183|190805828|200312218|200206424|181102906|191102821|190605474,,30,100,False,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:2268c9044e868ba0a16e92d2063ada87f68b5d03,"Did ensemble schemes help in boosting peformance, by how much?",paper_tab,1909.06162.pdf,,0.111,200106354|190102262|190806151|170109123|170307090|200311645|200100137|191105153|180900530|190908041,,30,100,False,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:26c290584c97e22b25035f5458625944db181552,What is the size of their dataset?,paper_tab,1909.06937.pdf,,0.109,190807816|181112254|180900530|180900540|190908089|191102821|170100185|190908041|181007091|180904960,,30,100,False,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paper_tab:2a6003a74d051d0ebbe62e8883533a5f5e55078b,which neural embedding model works better?,paper_tab,1702.03342.pdf,,0.11,160504655|170203342|170307090|191010869|190601183|161102550|160300968|181210479|190608382|171009340,2.0,30,100,False,False,,aucun,False,—,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.5,0.5,1.0,0.2,1.0,0.5,0.5,1.0,0.1,1.0,0.5,0.5
