id,question,subset,answerable,expected_answer,expected_document,categorie,erreur,reponse,refus,exactitude,detail_exactitude,evidence_couverte,couverture_relative,rang_premier_utile,groundedness,contexte_suffisant,citations_valides,citations_reparees,citations_hors_perimetre,nombre_sources,documents_cites,perimetre_statut,duree_secondes
paper_tab:2ddb51b03163d309434ee403fef42d6b9aecc458,what were the baselines?,paper_tab,True,"LF-MMI Attention
Seq2Seq 
RNN-T 
Char E2E LF-MMI 
Phone E2E LF-MMI 
CTC + Gram-CTC",1904.03288.pdf,ECHEC_RETRIEVAL,,"Les ""baselines"" mentionnés dans les documents se réfèrent à des modèles ou méthodes de référence utilisés pour comparer les performances des systèmes de génération de titres ou de résumés. Voici les principales références identifiées :

1. **Modèles de baselines pour la génération de titres** :  
   - **NHG** (Natural Headline Generation) : Modèle de base utilisé comme référence pour évaluer la pertinence et l'attractivité des titres générés. [S1]  
   - **Multitask** : Baseline basée sur un modèle multitâche, qui combine la synthèse et la transformation de style. [S1][S2]  
   - **Gigaword-MASS** : Modèle entraîné sur un grand corpus, mais moins performant que NHG. [S1][S7]  
   - **TitleStylist** : Modèle proposé dans les documents, comparé aux baselines pour tester son efficacité. [S1][S8]  

2. **Modèles de baselines pour la récupération d'information** :  
   - **TF-IDFMatch** : Méthode basée sur la similarité de mots pour évaluer les réponses. [S3]  
   - **NearestNeighbor** : Approche utilisant les exemples les plus proches du corpus d'entraînement. [S3]  
   - **Supervised Embeddings** : Modèles d'embedding supervisés pour scorer les paires (historique de conversation, réponse). [S3][S4]  

3. **Baselines pour les tâches de dialogue** :  
   - **Systèmes basés sur des règles** : Implémentés pour des tâches comme le suivi d'état de dialogue (T6), avec une précision de 40.7% sur les réponses validées. [S6]  
   - **BiLSTM Attention** : Modèle de référence utilisant une architecture similaire à celle proposée, mais sans les composants de structure. [S5]  
   - **Jurgens et al. (2018)** : Modèle étudié pour sa performance sur l'ensemble ACL-ARC, avec un F1 macro de 0.526. [S5]  

Les baselines varient selon le contexte (génération de titres, récupération d'information, dialogue) et sont souvent comparées aux modèles proposés pour mesurer leur efficacité. Les contradictions entre les sources (ex. performance de Gigaword-MASS) sont explicitement signalées.",False,False,réponse attendue absente de la réponse produite,False,0.0,,0.0776,True,True,False,0,8,160507683|190401608|200401980,aucun,23.778
paper_tab:53377f1c5eda961e438424d71d16150e669f7072,Which state-of-the-art model is surpassed by 9.68% attraction score?,paper_tab,True,pure summarization model NHG,2004.01980.pdf,ECHEC_GENERATION,,"Le modèle de pointe surpassé par une note d'attraction de 9,68 % est le **Neural Headline Generation (NHG)**. Selon le texte, le modèle proposé, intitulé **TitleStylist**, génère des titres avec une note d'attraction supérieure de 9,68 % par rapport au modèle de pointe actuel de synthèse (NHG), comme indiqué dans [S1]. Ce dernier est également mentionné comme une référence dans les comparaisons avec d'autres modèles comme le Gigaword-MASS et les baselines multitâche [S4].",False,False,réponse attendue absente de la réponse produite,True,0.7037,1.0,0.0857,True,True,False,0,2,200401980,aucun,7.474
paper_tab:5a23f436a7e0c33e4842425cf86d5fd8ba78ac92,How big is dataset used?,paper_tab,True,"553,451 documents",2004.01878.pdf,ECHEC_RETRIEVAL,,"La taille du dataset utilisé est détaillée dans les sources suivantes :

1. **Dataset des tâches 1 à 5** :  
   - **Entraînement** : Chaque tâche partage une source de données commune avec 1 000 dialogues [S1].  
   - **Validation** : 1 000 dialogues pour la tâche 1, 500 pour la tâche 2, 403 pour la tâche 3 [S1].  
   - **Test** : 1 000 dialogues pour la tâche 1, 1 117 pour la tâche 2, 402 pour la tâche 3 [S1].  

2. **Tâche 6** :  
   - **Entraînement** : 54 dialogues [S1].  

3. **Concierge** :  
   - **Entraînement** : 8 dialogues [S1].  

**Total estimé** : En combinant les dialogues d'entraînement, validation et test des tâches 1 à 5, le dataset principal comprend environ **5 000 dialogues d'entraînement**, **2 519 dialogues de test** et des dialogues de validation supplémentaires [S1].  

Les sources mentionnent également d'autres datasets (ex. IMDB, Yelp) avec des tailles spécifiques, mais ces derniers ne sont pas liés directement à la question [S4][S9].",False,False,"valeurs trouvées : 1.0, 1.0, 5.0, 1000.0, 1000.0, 1500.0, 2403.0, 3.0 — attendu 553.0",False,0.0,,0.0755,True,True,False,0,3,160507683|180900530,aucun,15.635
paper_tab:6aaf12505add25dd133c7b0dafe8f4fe966d1f1d,what previous RNN models do they compare with?,paper_tab,True,"Variational LSTM, CharCNN, Pointer Sentinel-LSTM, RHN, NAS Cell, SRU, QRNN, RAN, 4-layer skip-connection LSTM, AWD-LSTM, Quantized LSTM",1808.09029.pdf,ECHEC_RETRIEVAL,,"Les modèles RNN précédents comparés dans les documents incluent :  
- **Kamper et al. [14]** et **Levin et al. [12]**, qui ont travaillé sur des embeddings acoustiques basés sur des réseaux de neurones convolutifs (CNNs) et des réseaux de neurones récurrents (RNNs) [S1].  
- **Chen et al. [17]** et **Chungetal. [15]**, dont les approches ont été évoquées comme référence pour les embeddings acoustiques [S1].  
- **Merity et al. (2018)**, un modèle d'état de l'art pour la modélisation linguistique, contre lequel le PRU (Pyramidal Recurrent Unit) a été comparé [S6].  
- D'autres modèles RNN basés sur des mécanismes de portes et des transformations différentes, notamment des architectures comme les LSTM et les GRU [S4].  

Ces comparaisons visent à évaluer l'amélioration des modèles proposés en termes de précision et de généralisation [S4].",False,False,réponse attendue absente de la réponse produite,False,0.5909,6.0,0.1786,True,True,False,0,3,161102550|180809029,aucun,7.177
paper_tab:9176d2ba1c638cdec334971c4c7f1bb959495a8e,What are the source and target domains?,paper_tab,True,"Book, electronics, beauty, music, IMDB, Yelp, cell phone, baby, DVDs, kitchen",1809.00530.pdf,ECHEC_RETRIEVAL,,"La question porte sur l'identification des domaines source et cible. Selon les documents fournis :  

- **Domaine source** : C'est le domaine d'où le modèle est entraîné. Par exemple, dans le contexte de la classification de sentiment croisée, le domaine source est celui où les données étiquetées sont disponibles, et le modèle apprend à classifier les sentiments à partir de ces données [S1].  
- **Domaine cible** : C'est le domaine vers lequel le modèle doit généraliser ses connaissances. Il s'agit du domaine où les données ne sont pas étiquetées, et le modèle doit adapter ses performances en utilisant des techniques comme l'apprentissage semi-supervisé ou l'adaptation de domaine [S1].  

Ces concepts sont explicitement mentionnés dans les extraits [S1], [S2] et [S3], qui décrivent le problème de transfert de connaissances entre domaines. Aucun autre document ne fournit d'information sur ces domaines.",False,False,réponse attendue absente de la réponse produite,False,0.3873,1.0,0.1132,True,True,False,0,3,180900530,aucun,8.007
paper_tab:9349acbfce95cb5d6b4d09ac626b55a9cb90e55e,What are the citation intent labels in the datasets?,paper_tab,True,"Background, extends, uses, motivation, compare/contrast, and future work for the ACL-ARC dataset. Background, method, result comparison for the SciCite dataset.",1904.01608.pdf,ECHEC_GENERATION,,"Les étiquettes d'intention de citation (citation intent labels) présentes dans les jeux de données mentionnés sont les suivantes :  

1. **BACKGROUND** :  
   - Définition : Informations donnant plus de contexte sur un problème, concept, approche ou importance d'un sujet dans le domaine.  
   - Exemple : ""Recent evidence suggests that co-occurring alexithymia may explain deficits [12]."" [S2]  

2. **METHOD** :  
   - Définition : Utilisation d'une méthode, outil, approche ou ensemble de données.  
   - Exemple : ""We use Orthogonal Initialization (Saxe et al., 2014)"" [S2]  

3. **RESULTCOMPARISON** :  
   - Définition : Comparaison des résultats/observations d'un travail avec ceux d'autres travaux.  
   - Exemple : ""Similar results to our study were reported in the study of Lee et al (2010)."" [S2]  

Ces trois catégories sont explicitement identifiées comme les étiquettes principales dans le **SciCite dataset** [S2] et le **ACL-ARC dataset** [S1]. Les autres catégories mentionnées (comme *EXTENDS*, *USES*, *MOTIVATION*, etc.) sont soit des sous-catégories rares, soit des catégories non retenues comme étiquettes principales [S1].  

Les annotations des données ont été effectuées en sélectionnant parmi ces trois options principales, avec une option *OTHER* temporaire pour les contextes incomplets (supprimée ultérieurement) [S4].",False,False,réponse attendue absente de la réponse produite,True,0.9375,1.0,0.1429,True,True,False,0,3,190401608,aucun,9.481
paper_tab:9c4a4dfa7b0b977173e76e2d2f08fa984af86f0e,How does TP-N2F compare to LSTM-based Seq2Seq in terms of training and inference speed?,paper_tab,True,"Full Testing Set accuracy: 84.02
Cleaned Testing Set accuracy: 93.48",1910.02339.pdf,ECHEC_GENERATION,,"La documentation fournie ne contient pas d'informations directes sur la comparaison des vitesses de formation (training) et d'inférence entre TP-N2F et les modèles Seq2Seq basés sur LSTM. Les données disponibles se concentrent principalement sur les performances en termes de précision des opérations (comme indiqué dans [S1]) et sur l'analyse des structures apprises par les modèles [S4], sans mentionner explicitement les métriques de vitesse. 

Par exemple, [S1] compare les taux de précision d'exécution entre TP-N2F (55,95 %) et les modèles LSTM-based Seq2Seq (54,61 %), mais ces chiffres reflètent la qualité des résultats plutôt que la rapidité. De même, [S3] souligne que TP-N2F outpasse les modèles existants sur des ensembles de test, sans préciser les délais de traitement. 

Ainsi, les documents consultés ne permettent pas de répondre directement à la question sur la vitesse de formation ou d'inférence.",False,False,réponse attendue absente de la réponse produite,True,0.7627,1.0,0.0615,True,True,False,0,3,191002339,aucun,8.062
paper_tab:a02696d4ab728ddd591f84a352df9375faf7d1b4,How large is the Dialog State Tracking Dataset?,paper_tab,True,"1,618 training dialogs, 500 validation dialogs, and 1,117 test dialogs",1605.07683.pdf,ECHEC_RETRIEVAL,,"La taille du **Dialog State Tracking Dataset** (DSTC2) est indiquée dans les sources comme suit :  
- **Entraînement** : 1 000 dialogues [S1].  
- **Test** : 1 000 dialogues [S1].  

Ces chiffres proviennent des données générées à partir du dataset original de DSTC2, converti dans le format des tâches étudiées [S3]. Le dataset **Concierge**, extrait d'un service en ligne, contient quant à lui 8 dialogues [S1], mais il s'agit d'un sous-ensemble distinct.  

Ainsi, le **Dialog State Tracking Dataset** principal (DSTC2) comporte **1 000 dialogues d'entraînement** et **1 000 dialogues de test** [S1].",False,False,réponse attendue absente de la réponse produite,False,0.5366,1.0,0.0,True,True,False,0,2,160507683,aucun,10.228
paper_tab:c17b609b0b090d7e8f99de1445be04f8f66367d4,What rouge score do they achieve?,paper_tab,True,"Best results on unigram:
CNN/Daily Mail: Rogue F1 43.85
NYT: Rogue Recall 49.02
XSum: Rogue F1 38.81",1908.08345.pdf,ECHEC_RETRIEVAL,,"La question porte sur le score ROUGE atteint par un modèle. Selon les sources documentaires, les résultats ROUGE F1 sont présentés dans le tableau 2 du document [S1] et [S2]. Voici les valeurs clés :

- **BERTSUMEXT(large)** : ROUGE-1 = 43.85, ROUGE-2 = 20.34, ROUGE-L = 39.90 [S1].
- **TransformerABS** : ROUGE-1 = 40.21, ROUGE-2 = 17.76, ROUGE-L = 37.09 [S1].
- **BERTSUMEXT** : ROUGE-1 = 43.25, ROUGE-2 = 20.24, ROUGE-L = 39.63 [S1].
- **DCA** : ROUGE-1 = 41.69, ROUGE-2 = 19.47, ROUGE-L = 37.92 [S1].

Le modèle **BERTSUMEXT(large)** obtient le meilleur score ROUGE-2 (20.34) et ROUGE-L (39.90) parmi les modèles listés. Ces résultats sont extraits des sources [S1] et [S2].",False,False,réponse attendue absente de la réponse produite,False,0.348,1.0,0.1702,True,True,False,0,2,190808345,aucun,13.137
paper_text:1bdc990c7e948724ab04e70867675a334fdd3051,Where do they get the recipes from?,paper_text,True,from Food.com,1909.00105.pdf,ECHEC_RETRIEVAL,,"Les recettes sont générées à partir de préférences historiques des utilisateurs et de données provenant d'une base de données. Plus précisément :  
- Les modèles utilisent les préférences des utilisateurs extraites de leurs recettes précédemment consommées pour créer des recettes personnalisées [S1].  
- Les données sources incluent un ensemble de 270 000 recettes et 1,4 million d'interactions utilisateur-récepteur provenant du site Food.com, couvrant une période de 18 ans [S4].  
- Les recettes générées s'appuient sur des spécifications incomplètes (nom de la recette, ingrédients clés, niveau calorique) et des représentations techniques des recettes historiques [S5].  

Ces sources montrent que les recettes sont à la fois dérivées de données utilisateur et d'une base de données externe (Food.com).",False,False,réponse attendue absente de la réponse produite,False,0.6829,1.0,0.1064,True,True,False,0,3,190900105,aucun,7.67
